,config,type,scheduling,modulation,periodicity,bias,modem,iteration,index,throughput,latency
73,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,13,9.56,
74,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,14,9.55,
75,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,15,9.37,
76,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,16,9.53,
77,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,17,9.53,
78,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,18,9.53,
79,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,19,9.3,
80,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,20,9.65,
81,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,21,9.45,
82,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,22,9.39,
83,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,23,9.56,
84,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,24,9.41,
85,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,25,9.55,
86,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,26,9.31,
87,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,27,9.56,
88,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,28,9.55,
89,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,0,1,29,9.53,
95,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,5,6.59,
96,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,6,6.57,
97,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,7,6.61,
98,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,8,6.63,
99,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,9,6.57,
100,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,10,6.6,
101,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,11,6.57,
102,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,12,6.64,
103,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,13,6.61,
104,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,14,6.63,
105,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,15,6.57,
106,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,16,6.6,
107,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,17,6.58,
108,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,18,6.61,
109,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,19,6.6,
110,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,20,6.6,
111,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,21,6.57,
112,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,22,6.67,
113,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,23,6.53,
114,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,24,6.6,
115,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,25,6.5,
116,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,26,6.57,
117,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,27,6.53,
118,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,28,6.54,
119,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,1,1,29,6.52,
125,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,5,,14.7
126,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,6,,12.4
127,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,7,,12.1
128,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,8,,10.9
129,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,9,,9.24
130,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,10,,7.46
131,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,11,,14.7
132,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,12,,12.7
133,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,13,,11.7
134,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,14,,10.4
135,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,15,,8.23
136,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,16,,10.2
137,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,17,,14.2
138,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,18,,12.6
139,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,19,,11.6
140,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,20,,10.1
141,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,21,,8.76
142,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,22,,10.1
143,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,23,,14.2
144,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,24,,12.6
145,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,25,,11.7
146,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,26,,10.1
147,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,27,,8.65
148,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,28,,10.5
149,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,1,1,29,,13.7
155,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,5,9.65,
156,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,6,9.29,
157,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,7,9.7,
158,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,8,9.37,
159,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,9,9.44,
160,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,10,9.43,
161,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,11,9.67,
162,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,12,9.28,
163,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,13,9.43,
